                              Name,Cultivar,   Factors,ZoneName,Clock.Today,Wheat.Phenology.DaysAfterSowing,Wheat.Phenology.ThermalTime,Wheat.Phenology.AccumulateThermalTime,Wheat.Phenology.CurrentPhaseName,Wheat.Phenology.CurrentStageName,Wheat.Phenology.Stage,Wheat.Structure.MainStemPrimordiaNo,Wheat.Structure.MainStemNodeNo,Wheat.Structure.PlantTotalNodeNo,Wheat.Structure.InitialiseStage,Wheat.Structure.MainStemFinalNodeNumber,Wheat.Structure.BranchNumber,Wheat.Structure.RemainingNodeNo,Wheat.Structure.DeltaNodeNumber,Wheat.Structure.ProportionBranchMortality,Wheat.Structure.ProportionPlantMortality,Wheat.Structure.BranchingRate,Wheat.Structure.BranchMortality,Wheat.Structure.PrimaryBudNo,Wheat.Structure.PrimaryBudTotalNodeNo,Wheat.Structure.MainStemPopn,Wheat.Structure.TotalStemPopn,Wheat.Structure.MeanTillerGrowthRate,Wheat.Arbitrator.FN,Wheat.Arbitrator.DMSupply,Wheat.Leaf.CohortAge1:10(1),Wheat.Leaf.CohortAge1:10(2),Wheat.Leaf.CohortAge1:10(3),Wheat.Leaf.CohortAge1:10(4),Wheat.Leaf.CohortAge1:10(5),Wheat.Leaf.CohortAge1:10(6),Wheat.Leaf.CohortAge1:10(7),Wheat.Leaf.CohortAge1:10(8),Wheat.Leaf.CohortAge1:10(9),Wheat.Leaf.CohortAge1:10(10),Wheat.Leaf.AppearedCohortNo,Wheat.Leaf.InitialisedCohortNo,Wheat.Leaf.ExpandingCohortNo,Wheat.Leaf.GreenCohortNo,Wheat.Leaf.SenescingCohortNo,Wheat.Leaf.DeadCohortNo,Wheat.Leaf.PlantAppearedGreenLeafNo,Wheat.Leaf.PlantAppearedLeafNo,Wheat.Leaf.PlantsenescedLeafNo,Wheat.Leaf.LAI,Wheat.Leaf.LAIDead,Wheat.Leaf.LAITotal,Wheat.Leaf.CoverDead,Wheat.Leaf.CoverGreen,Wheat.Leaf.CoverTotal
15TraitModCultivarDummy1Management,  Dummy1,Management,   Field, 2015-05-19,                              0,                     16.600,                                0.000,                     Germinating,                               ?,                1.000,                              0.000,                         0.000,                           0.000,                      Emergence,                                 26.000,                       0.000,                         26.000,                          0.000,                                    0.000,                                   0.000,                        0.000,                          0.000,                       1.000,                                0.000,                       0.000,                        0.000,                                    ,              1.000,                    0.000,                      0.000,                      0.000,                      0.000,                      0.000,                      0.000,                      0.000,                      0.000,                      0.000,                      0.000,                       0.000,                      0.000,                         0.000,                       0.000,                   0.000,                       0.000,                  0.000,                                   ,                              ,                              ,         0.000,             0.000,              0.000,               0.000,                0.000,                0.000
15TraitModCultivarDummy1Management,  Dummy1,Management,   Field, 2015-05-20,                              1,                     19.700,                                0.000,                     Germinating,                               ?,                1.000,                              0.000,                         0.000,                           0.000,                      Emergence,                                 26.000,                       0.000,                         26.000,                          0.000,                                    0.000,                                   0.000,                        0.000,                          0.000,                       1.000,                                0.000,                       0.000,                        0.000,                                    ,              1.000,                    0.000,                      0.000,                      0.000,                      0.000,                      0.000,                      0.000,                      0.000,                      0.000,                      0.000,                      0.000,                       0.000,                      0.000,                         0.000,                       0.000,                   0.000,                       0.000,                  0.000,                                   ,                              ,                              ,         0.000,             0.000,              0.000,               0.000,                0.000,                0.000
15TraitModCultivarDummy1Management,  Dummy1,Management,   Field, 2015-05-21,                              0,                     17.600,                               17.600,                     Germinating,                          Sowing,                1.999,                              0.000,                         0.000,                           0.000,                      Emergence,                                 26.000,                       0.000,                         26.000,                          0.000,                                    0.000,                                   0.000,                        0.000,                          0.000,                       1.000,                                0.000,                     150.000,                      150.000,                                    ,              1.000,                    0.000,                      0.000,                      0.000,                      0.000,                      0.000,                      0.000,                      0.000,                      0.000,                      0.000,                      0.000,                       0.000,                      0.000,                         0.000,                       0.000,                   0.000,                       0.000,                  0.000,                              0.000,                         0.000,                         0.000,         0.000,             0.000,              0.000,               0.000,                0.000,                0.000
15TraitModCultivarDummy1Management,  Dummy1,Management,   Field, 2015-05-22,                              1,                     14.550,                               32.150,                        Emerging,                     Germination,                2.145,                              0.000,                         0.000,                           0.000,                      Emergence,                                 26.000,                       0.000,                         26.000,                          0.000,                                    0.000,                                   0.000,                        0.000,                          0.000,                       1.000,                                0.000,                     150.000,                      150.000,                                    ,              1.000,                    0.000,                      0.000,                      0.000,                      0.000,                      0.000,                      0.000,                      0.000,                      0.000,                      0.000,                      0.000,                       0.000,                      0.000,                         0.000,                       0.000,                   0.000,                       0.000,                  0.000,                              0.000,                         0.000,                         0.000,         0.000,             0.000,              0.000,               0.000,                0.000,                0.000
15TraitModCultivarDummy1Management,  Dummy1,Management,   Field, 2015-05-23,                              2,                     16.250,                               48.400,                        Emerging,                               ?,                2.308,                              0.000,                         0.000,                           0.000,                      Emergence,                                 26.000,                       0.000,                         26.000,                          0.000,                                    0.000,                                   0.000,                        0.000,                          0.000,                       1.000,                                0.000,                     150.000,                      150.000,                                    ,              1.000,                    0.000,                      0.000,                      0.000,                      0.000,                      0.000,                      0.000,                      0.000,                      0.000,                      0.000,                      0.000,                       0.000,                      0.000,                         0.000,                       0.000,                   0.000,                       0.000,                  0.000,                              0.000,                         0.000,                         0.000,         0.000,             0.000,              0.000,               0.000,                0.000,                0.000
15TraitModCultivarDummy1Management,  Dummy1,Management,   Field, 2015-05-24,                              3,                     15.900,                               64.300,                        Emerging,                               ?,                2.467,                              0.000,                         0.000,                           0.000,                      Emergence,                                 26.000,                       0.000,                         26.000,                          0.000,                                    0.000,                                   0.000,                        0.000,                          0.000,                       1.000,                                0.000,                     150.000,                      150.000,                                    ,              1.000,                    0.000,                      0.000,                      0.000,                      0.000,                      0.000,                      0.000,                      0.000,                      0.000,                      0.000,                      0.000,                       0.000,                      0.000,                         0.000,                       0.000,                   0.000,                       0.000,                  0.000,                              0.000,                         0.000,                         0.000,         0.000,             0.000,              0.000,               0.000,                0.000,                0.000
15TraitModCultivarDummy1Management,  Dummy1,Management,   Field, 2015-05-25,                              4,                     16.300,                               80.600,                        Emerging,                               ?,                2.630,                              0.000,                         0.000,                           0.000,                      Emergence,                                 26.000,                       0.000,                         26.000,                          0.000,                                    0.000,                                   0.000,                        0.000,                          0.000,                       1.000,                                0.000,                     150.000,                      150.000,                               0.000,              1.000,                    0.000,                      0.000,                      0.000,                      0.000,                      0.000,                      0.000,                      0.000,                      0.000,                      0.000,                      0.000,                       0.000,                      0.000,                         0.000,                       0.000,                   0.000,                       0.000,                  0.000,                              0.000,                         0.000,                         0.000,         0.000,             0.000,              0.000,               0.000,                0.000,                0.000
15TraitModCultivarDummy1Management,  Dummy1,Management,   Field, 2015-05-26,                              5,                     15.500,                               96.100,                        Emerging,                               ?,                2.785,                              0.000,                         0.000,                           0.000,                      Emergence,                                 26.000,                       0.000,                         26.000,                          0.000,                                    0.000,                                   0.000,                        0.000,                          0.000,                       1.000,                                0.000,                     150.000,                      150.000,                               0.000,              1.000,                    0.000,                      0.000,                      0.000,                      0.000,                      0.000,                      0.000,                      0.000,                      0.000,                      0.000,                      0.000,                       0.000,                      0.000,                         0.000,                       0.000,                   0.000,                       0.000,                  0.000,                              0.000,                         0.000,                         0.000,         0.000,             0.000,              0.000,               0.000,                0.000,                0.000
15TraitModCultivarDummy1Management,  Dummy1,Management,   Field, 2015-05-27,                              6,                     16.900,                              113.000,                        Emerging,                               ?,                2.954,                              0.000,                         0.000,                           0.000,                      Emergence,                                 26.000,                       0.000,                         26.000,                          0.000,                                    0.000,                                   0.000,                        0.000,                          0.000,                       1.000,                                0.000,                     150.000,                      150.000,                               0.000,              1.000,                    0.000,                      0.000,                      0.000,                      0.000,                      0.000,                      0.000,                      0.000,                      0.000,                      0.000,                      0.000,                       0.000,                      0.000,                         0.000,                       0.000,                   0.000,                       0.000,                  0.000,                              0.000,                         0.000,                         0.000,         0.000,             0.000,              0.000,               0.000,                0.000,                0.000
15TraitModCultivarDummy1Management,  Dummy1,Management,   Field, 2015-05-28,                              7,                     15.650,                              128.650,                      Vegetative,                       Emergence,                3.028,                              3.000,                         1.000,                           1.000,                      Emergence,                                 26.000,                       0.000,                         25.000,                          0.000,                                    0.000,                                   0.000,                        0.000,                          0.000,                       1.000,                                1.000,                     150.000,                      150.000,                               0.000,              2.081,                    0.188,                     52.642,                      0.000,                      0.000,                      0.000,                      0.000,                      0.000,                      0.000,                      0.000,                      0.000,                       0.000,                      1.000,                         3.000,                       1.000,                   1.000,                       0.000,                  0.000,                              1.000,                         1.000,                         0.000,         0.033,             0.000,              0.033,               0.000,                0.010,                0.010
